,uid,stuNum
1,u00,0
2,u02,0
3,u03,0
4,u04,0
5,u05,0
6,u07,0
7,u08,64
8,u09,0
9,u10,0
10,u12,0
11,u13,61
12,u14,64
13,u15,0
14,u16,0
15,u17,0
16,u18,0
17,u19,0
18,u20,0
19,u22,0
20,u23,58
21,u24,32
22,u25,46
23,u27,66
24,u30,64
25,u31,62
26,u32,49
27,u33,47
28,u34,43
29,u35,67
30,u36,67
31,u39,25
32,u41,55
33,u42,52
34,u43,58
35,u44,62
36,u45,47
37,u46,55
38,u47,49
39,u49,57
40,u50,39
41,u51,67
42,u52,66
43,u53,66
44,u54,0
45,u56,0
46,u57,0
47,u58,0
48,u59,0
